mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
877.2561472,0.1091335,878.2633278,C_44 H_46 O_19,C44H46O19,C_44 H_45 O_19,132,44,1.045,0.432,44,46,19,0,0,0,0,0,0
877.2772567,0.086735,878.284457,C_41 H_50 O_21,C41H50O21,C_41 H_49 O_21,361,41,1.22,0.512,41,50,21,0,0,0,0,0,0
877.3136543,0.1006341,878.3208424,C_42 H_54 O_20,C42H54O20,C_42 H_53 O_20,387,42,1.286,0.476,42,54,20,0,0,0,0,0,0
877.3501766,0.2564514,878.3572278,C_43 H_58 O_19,C43H58O19,C_43 H_57 O_19,391,43,1.349,0.442,43,58,19,0,0,0,0,0,0
878.1347231,0.3080242,879.1422703,C_36 H_34 O_25 C13_1,C37H34O25,C_36 H_33 O_25 C13_1,328,37,0.919,0.676,36,34,25,0,0,0,0,0,1
878.3170501,0.1471095,879.3241972,C_41 H_54 O_20 C13_1,C42H54O20,C_41 H_53 O_20 C13_1,387,42,1.286,0.476,41,54,20,0,0,0,0,0,1
879.0906267,0.9683604,880.0970509,C_39 H_28 O_24,C39H28O24,C_39 H_27 O_24,100,39,0.718,0.615,39,28,24,0,0,0,0,0,0
879.1116236,0.8180099,880.1181801,C_36 H_32 O_26,C36H32O26,C_36 H_31 O_26,340,36,0.889,0.722,36,32,26,0,0,0,0,0,0
879.126729,0.6466765,880.1334362,C_40 H_32 O_23,C40H32O23,C_40 H_31 O_23,102,40,0.8,0.575,40,32,23,0,0,0,0,0,0
879.1476689,0.4315502,880.1545655,C_37 H_36 O_25,C37H36O25,C_37 H_35 O_25,355,37,0.973,0.676,37,36,25,0,0,0,0,0,0
879.1632389,0.7881666,880.1698216,C_41 H_36 O_22,C41H36O22,C_41 H_35 O_22,121,41,0.878,0.537,41,36,22,0,0,0,0,0,0
879.199512,0.6605425,880.206207,C_42 H_40 O_21,C42H40O21,C_42 H_39 O_21,132,42,0.952,0.5,42,40,21,0,0,0,0,0,0
879.220591,0.603446,880.2273362,C_39 H_44 O_23,C39H44O23,C_39 H_43 O_23,361,39,1.128,0.59,39,44,23,0,0,0,0,0,0
879.2569378,0.5595695,880.2637216,C_40 H_48 O_22,C40H48O22,C_40 H_47 O_22,387,40,1.2,0.55,40,48,22,0,0,0,0,0,0
879.2725541,0.9686954,880.2789778,C_44 H_48 O_19,C44H48O19,C_44 H_47 O_19,209,44,1.091,0.432,44,48,19,0,0,0,0,0,0
879.3300515,0.9491589,880.3364924,C_42 H_56 O_20,C42H56O20,C_42 H_55 O_20,376,42,1.333,0.476,42,56,20,0,0,0,0,0,0
881.1059765,0.6258346,882.1127009,C_39 H_30 O_24,C39H30O24,C_39 H_29 O_24,121,39,0.769,0.615,39,30,24,0,0,0,0,0,0
881.1425029,0.78565,882.1490862,C_40 H_34 O_23,C40H34O23,C_40 H_33 O_23,132,40,0.85,0.575,40,34,23,0,0,0,0,0,0
881.1633371,0.6923876,882.1712243,C_59 H_30 O_7 S_1,C59H30O7S,C_59 H_29 O_7 S_1,2,59,0.508,0.119,59,30,7,0,1,0,0,0,0
881.1786053,0.4648873,882.1854716,C_41 H_38 O_22,C41H38O22,C_41 H_37 O_22,155,41,0.927,0.537,41,38,22,0,0,0,0,0,0
881.2148507,0.3061587,882.221857,C_42 H_42 O_21,C42H42O21,C_42 H_41 O_21,209,42,1,0.5,42,42,21,0,0,0,0,0,0
881.2359594,0.2829118,882.2429862,C_39 H_46 O_23,C39H46O23,C_39 H_45 O_23,391,39,1.179,0.59,39,46,23,0,0,0,0,0,0
881.251116,0.1701078,882.2582424,C_43 H_46 O_20,C43H46O20,C_43 H_45 O_20,229,43,1.07,0.465,43,46,20,0,0,0,0,0,0
881.2725641,0.5314765,882.2793716,C_40 H_50 O_22,C40H50O22,C_40 H_49 O_22,376,40,1.25,0.55,40,50,22,0,0,0,0,0,0
881.3087152,0.2659591,882.315757,C_41 H_54 O_21,C41H54O21,C_41 H_53 O_21,379,41,1.317,0.512,41,54,21,0,0,0,0,0,0
881.3235287,0.2357959,882.3310131,C_45 H_54 O_18,C45H54O18,C_45 H_53 O_18,270,45,1.2,0.4,45,54,18,0,0,0,0,0,0
882.1085172,0.2967051,883.1160557,C_38 H_30 O_24 C13_1,C39H30O24,C_38 H_29 O_24 C13_1,121,39,0.769,0.615,38,30,24,0,0,0,0,0,1
882.1449249,0.2715138,883.1524411,C_39 H_34 O_23 C13_1,C40H34O23,C_39 H_33 O_23 C13_1,132,40,0.85,0.575,39,34,23,0,0,0,0,0,1
882.1666874,0.6967631,883.1745792,C_58 H_30 O_7 S_1 C13_1,C59H30O7S,C_58 H_29 O_7 S_1 C13_1,2,59,0.508,0.119,58,30,7,0,1,0,0,0,1
